Unity time	tracker time	eye ray x	eye ray y	 eye ray z	eye screen x	eye screen z	status 	 objX 	objY 	Target Size	Button	Spawn Angle	Kill Angle	Eye Moved
5.82	0	-0.7544341	0.6461713	0.1152901	-145.7916	788.7098	1	3059.893	197.4811	1	0	0	0	False
5.83	0	-0.7546551	0.645915	0.1152791	-145.7916	788.7098	1	3057.577	196.5923	1	0	0	0	False
5.84	0	-0.7550344	0.6455385	0.1149042	-145.7917	788.7098	1	3056.768	194.771	1	0	0	0	False
5.85	0	-0.7552572	0.645306	0.1147457	-145.7916	788.7098	1	3056.385	193.8537	1	0	0	0	False
5.86	0	-0.7552572	0.645306	0.1147457	-145.7916	788.7098	1	3056.385	193.8537	1	0	0	0	False
5.87	0	-0.7554861	0.6450447	0.1147091	-145.7916	788.7098	1	3055.696	193.1483	1	0	0	0	False
5.88	0	-0.7555409	0.6449398	0.1149375	-145.7917	788.7098	1	3053.491	193.1889	1	0	0	0	False
5.89	0	-0.7555643	0.644837	0.1153592	-145.7916	788.7098	1	3050.263	193.5697	1	0	0	0	False
5.9	0	-0.7555643	0.644837	0.1153592	-145.7916	788.7098	1	3050.263	193.5697	1	0	0	0	False
5.91	0	-0.7555172	0.6448133	0.1158005	-145.7916	788.7098	1	3046.084	193.999	1	0	0	0	False
5.92	0	-0.755597	0.6446838	0.1159997	-145.7916	788.7098	1	3043.793	193.9003	1	0	0	0	False
5.93	0	-0.7558189	0.6444	0.116131	-145.7916	788.7098	1	3042.485	193.488	1	0	0	0	False
5.94	0	-0.7558189	0.6444	0.116131	-145.7916	788.7098	1	3042.485	193.488	1	0	0	0	False
5.95	0	-0.7560496	0.6440975	0.1163068	-145.7916	788.7098	1	3040.823	193.0996	1	0	0	0	False
5.96	0	-0.7563633	0.6436607	0.1166852	-145.7916	788.7097	1	3037.75	192.7527	1	0	0	0	False
5.97	0	-0.7566	0.6433114	0.1170762	-145.7917	788.7098	1	3034.855	192.6339	1	0	0	0	False
5.98	0	-0.7566	0.6433114	0.1170762	-145.7917	788.7098	1	3034.855	192.6339	1	0	0	0	False
5.99	0	-0.7567358	0.643073	0.1175075	-145.7916	788.7098	1	3031.703	192.7887	1	0	0	0	False
6	0	-0.7568212	0.6429062	0.1178693	-145.7916	788.7098	1	3027.988	192.8086	1	0	0	0	False
6.01	0	-0.756959	0.6427056	0.1180783	-145.7916	788.7098	1	3024.744	192.4463	1	0	0	0	False
6.02	0	-0.756959	0.6427056	0.1180783	-145.7916	788.7098	1	3024.744	192.4463	1	0	0	0	False
6.03	0	-0.7570736	0.642538	0.1182561	-145.7916	788.7098	1	3022.324	192.1977	1	0	0	0	False
6.04	0	-0.7571892	0.6423772	0.1183892	-145.7916	788.7098	1	3020.732	191.98	1	0	0	0	False
6.05	0	-0.7572818	0.6422572	0.1184484	-145.7916	788.7098	1	3019.793	191.7546	1	0	0	0	False
6.06	0	-0.7572818	0.6422572	0.1184484	-145.7916	788.7098	1	3019.793	191.7546	1	0	0	0	False
